uid,group_type,human_kc_count,llm_kc_count,human_word_count,llm_word_count,human_ttr,llm_ttr,human_fres,llm_fres
U055,low-uptake,6,6,206,175,0.616504854368932,0.68,62.630538201772936,80.01317293233083
U028,low-uptake,9,8,242,226,0.5454545454545454,0.6106194690265486,54.40293847566576,56.70969518190759
U037,low-uptake,5,5,184,147,0.4891304347826087,0.673469387755102,80.28188963210704,60.307372448979606
U037,low-uptake,7,0,184,1,0.4891304347826087,1.0,80.28188963210704,121.22000000000003
U011,mixed-uptake,1,1,194,147,0.6082474226804123,0.6666666666666666,59.55508723235528,36.52674489795919
U044,mixed-uptake,3,3,46,39,0.7391304347826086,0.8461538461538461,86.44123188405798,39.624615384615424
U017,low-uptake,10,10,327,275,0.5229357798165137,0.6,87.98526783071915,75.39919696969699
U050,high-uptake,5,5,201,131,0.4228855721393035,0.6946564885496184,75.39152518656718,61.06074300254457
U043,low-uptake,10,0,141,1,0.6737588652482269,1.0,39.99000000000001,121.22000000000003
U019,mixed-uptake,7,7,166,151,0.5481927710843374,0.6158940397350994,78.06823042168678,69.51554014900665
U046,,7,6,222,182,0.44144144144144143,0.5934065934065934,99.91714864864865,75.34685164835166
U020,low-uptake,6,6,234,206,0.5341880341880342,0.6262135922330098,72.68293269230772,63.170758495145634
U010,high-uptake,4,4,146,115,0.5136986301369864,0.6695652173913044,55.86773972602742,33.34350543478263
U015,high-uptake,7,7,340,238,0.6323529411764706,0.7142857142857143,36.87205882352944,21.896389786683926
U015,high-uptake,6,6,337,257,0.6261127596439169,0.7159533073929961,38.42895944609302,16.69821984435802
U046,,9,9,222,154,0.44144144144144143,0.6688311688311688,99.91714864864865,51.474487734487724
U010,high-uptake,4,4,150,121,0.5133333333333333,0.7272727272727273,57.62100000000002,31.97595041322316
U026,mixed-uptake,6,6,165,162,0.6181818181818182,0.5925925925925926,55.73727272727277,65.50904040404043
U003,,9,9,129,103,0.6356589147286822,0.7572815533980582,74.38905523255816,50.029010922330116
U025,low-uptake,12,11,182,131,0.6428571428571429,0.7404580152671756,66.18983516483517,48.150326162387245
U013,high-uptake,5,5,262,232,0.5877862595419847,0.6120689655172413,65.84668575063615,70.88666666666668
U035,mixed-uptake,10,10,271,257,0.6236162361623616,0.6536964980544747,57.78025369003694,62.75255097276266
U044,mixed-uptake,8,8,210,158,0.5285714285714286,0.6962025316455697,79.50455357142857,44.08222573839663
U007,high-uptake,8,8,205,131,0.4585365853658537,0.7022900763358778,74.52333333333335,55.261164122137416
U032,high-uptake,10,9,221,210,0.4660633484162896,0.5761904761904761,58.892488687782844,60.95105042016809
U039,low-uptake,6,6,153,126,0.5882352941176471,0.7063492063492064,65.24838235294118,61.400000000000034
U053,mixed-uptake,10,10,238,220,0.5882352941176471,0.5818181818181818,64.52158263305324,46.99803030303033
U057,low-uptake,11,10,254,231,0.5275590551181102,0.6147186147186147,54.3878070866142,43.68298701298704
U028,low-uptake,12,8,242,233,0.5454545454545454,0.6180257510729614,54.40293847566576,51.31837919717245
