"model","comparison","beta","se","z","p_value","OR","CI_lower","CI_upper"
"Amplification","high-uptake vs low-uptake",-1.27904524062145,0.19756156781799,-6.47416020609743,9.53407032460336e-11,0.27830288593833,0.188952654938599,0.409904250071382
"Amplification","mixed-uptake vs low-uptake",-0.999541439458916,0.175242416923644,-5.70376428838248,1.17190105793707e-08,0.368048174851387,0.261058628871704,0.51888520060376
"Reformulate","high-uptake vs low-uptake",1.09919015681272,0.23975731092653,4.58459494963866,4.54867351419131e-06,3.00173410542771,1.87624879620028,4.80235225623354
"Reformulate","mixed-uptake vs low-uptake",0.926041318138446,0.224960135269212,4.11646853354814,3.84721826461536e-05,2.52449569528083,1.62438219378789,3.92338609710446
"Accept","high-uptake vs low-uptake",1.77878599078709,0.56563830951856,3.14474101356588,0.00166233920649041,5.92266188626562,1.95454079006611,17.9468875744655
"Accept","mixed-uptake vs low-uptake",2.53732487876213,0.535191826630464,4.740963431256,2.1270432593366e-06,12.6457966428988,4.42986085450835,36.0995927379527
"Reject","high-uptake vs low-uptake",-0.140397361699844,0.456318715417162,-0.307673906321143,0.758330476915432,0.869012854357758,0.355309652412043,2.12542309479184
"Reject","mixed-uptake vs low-uptake",-0.174700655457267,0.408834131440711,-0.427314262734451,0.669150445734944,0.839708345261664,0.376815037464197,1.87123664131658
"Exemplification","high-uptake vs low-uptake",-0.935452480750204,0.449577772149767,-2.08073561172099,0.037458112577591,0.392408268167288,0.162576157995516,0.94715148164774
"Exemplification","mixed-uptake vs low-uptake",-2.66258358706191,0.591763210139118,-4.49940709635524,6.8143251923485e-06,0.0697677376725025,0.0218748398849501,0.222517615924951
"Connection","high-uptake vs low-uptake",0.236673048351788,0.710695694683212,0.333016015324651,0.739122194014927,1.2670267935485,0.314659267149809,5.10188976829177
"Connection","mixed-uptake vs low-uptake",-0.482226330575618,0.7006803278038,-0.688225873398073,0.491310553056263,0.617407307798614,0.156369335019214,2.43776558668803
"Metacognitive","high-uptake vs low-uptake",0.208260666235141,0.509522775929191,0.408736716146489,0.682732886033466,1.23153414708261,0.453669815627757,3.343128202902
"Metacognitive","mixed-uptake vs low-uptake",0.441524443839238,0.408305253974023,1.08135871273243,0.279537579783031,1.55507603857256,0.698556547007055,3.46179775438868
