student_id,no_uptake,successful,unsuccessful,total_interactions,cluster,uptake_profile
P001,1.0,0.0,0.0,4,0,low-uptake
P002,0.6666666666666666,0.16666666666666666,0.16666666666666666,6,1,mixed-uptake
P003,0.4375,0.3125,0.25,16,1,mixed-uptake
P004,0.7777777777777778,0.16666666666666666,0.05555555555555555,18,0,low-uptake
P005,0.75,0.25,0.0,4,0,low-uptake
P006,0.6666666666666666,0.3333333333333333,0.0,3,1,mixed-uptake
P007,0.25,0.75,0.0,4,2,high-uptake
P008,0.6666666666666666,0.0,0.3333333333333333,3,1,mixed-uptake
P009,1.0,0.0,0.0,4,0,low-uptake
P010,1.0,0.0,0.0,1,0,low-uptake
P011,1.0,0.0,0.0,2,0,low-uptake
P012,1.0,0.0,0.0,1,0,low-uptake
P013,1.0,0.0,0.0,2,0,low-uptake
P014,1.0,0.0,0.0,1,0,low-uptake
P015,1.0,0.0,0.0,4,0,low-uptake
P016,1.0,0.0,0.0,13,0,low-uptake
P017,1.0,0.0,0.0,8,0,low-uptake
P018,0.0,1.0,0.0,1,2,high-uptake
P019,0.6923076923076923,0.15384615384615385,0.15384615384615385,13,1,mixed-uptake
P020,0.6666666666666666,0.16666666666666666,0.16666666666666666,6,1,mixed-uptake
P021,1.0,0.0,0.0,9,0,low-uptake
P022,1.0,0.0,0.0,2,0,low-uptake
P023,0.4,0.0,0.6,5,1,mixed-uptake
P024,0.0,0.0,1.0,1,1,mixed-uptake
P025,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1,mixed-uptake
P026,0.14285714285714285,0.5714285714285714,0.2857142857142857,7,2,high-uptake
P027,1.0,0.0,0.0,2,0,low-uptake
P028,1.0,0.0,0.0,1,0,low-uptake
P029,0.7777777777777778,0.14814814814814814,0.07407407407407407,27,0,low-uptake
P030,0.14285714285714285,0.7142857142857143,0.14285714285714285,7,2,high-uptake
P031,0.375,0.125,0.5,8,1,mixed-uptake
P032,1.0,0.0,0.0,2,0,low-uptake
P033,0.75,0.0,0.25,4,0,low-uptake
P034,0.625,0.0,0.375,8,1,mixed-uptake
P035,0.8333333333333334,0.16666666666666666,0.0,6,0,low-uptake
