participant_id,session,group_type,intrinsic_load,extraneous_load,germane_load,essay_improvement
P040,1,high-uptake,2.6666666666666665,2.6666666666666665,7.5,32.22222222222222
P040,2,high-uptake,2.333333333333333,4.0,7.75,32.22222222222222
P040,3,high-uptake,2.0,2.0,8.0,32.22222222222222
P049,1,high-uptake,1.0,3.333333333333333,7.0,28.928571428571427
P049,2,high-uptake,1.6666666666666667,1.3333333333333333,8.0,28.928571428571427
P049,3,high-uptake,2.333333333333333,2.0,9.0,28.928571428571427
P033,1,low-uptake,4.0,5.333333333333333,6.0,25.694444444444443
P033,2,low-uptake,4.0,6.333333333333333,7.25,25.694444444444443
P033,3,low-uptake,3.6666666666666665,5.0,6.75,25.694444444444443
P046,1,high-uptake,1.3333333333333333,1.0,8.25,25.264550264550262
P046,2,high-uptake,1.0,1.3333333333333333,8.25,25.264550264550262
P046,3,high-uptake,1.0,1.3333333333333333,8.75,25.264550264550262
P028,1,mixed-uptake,4.666666666666667,2.6666666666666665,8.75,33.33333333333333
P028,2,mixed-uptake,2.333333333333333,6.666666666666667,7.25,33.33333333333333
P028,3,mixed-uptake,4.666666666666667,3.6666666666666665,8.0,33.33333333333333
P001,1,high-uptake,1.6666666666666667,2.0,8.75,34.523809523809526
P001,2,high-uptake,2.0,1.6666666666666667,9.0,34.523809523809526
P001,3,high-uptake,1.0,1.0,9.75,34.523809523809526
P018,1,mixed-uptake,3.333333333333333,7.0,7.0,7.407407407407407
P018,2,mixed-uptake,4.0,7.333333333333333,7.25,7.407407407407407
P018,3,mixed-uptake,4.0,7.0,7.0,7.407407407407407
P032,1,high-uptake,4.666666666666667,6.0,5.5,8.333333333333334
P032,2,high-uptake,3.0,5.0,6.0,8.333333333333334
P032,3,high-uptake,3.0,5.333333333333333,4.5,8.333333333333334
P010,1,mixed-uptake,3.6666666666666665,4.333333333333333,6.25,2.777777777777777
P010,2,mixed-uptake,3.0,2.6666666666666665,6.5,2.777777777777777
P010,3,mixed-uptake,2.6666666666666665,3.0,6.25,2.777777777777777
P056,1,mixed-uptake,3.0,3.0,5.5,16.666666666666668
P056,2,mixed-uptake,3.333333333333333,3.0,8.0,16.666666666666668
P056,3,mixed-uptake,2.0,2.0,7.0,16.666666666666668
P015,1,low-uptake,3.333333333333333,2.6666666666666665,7.0,65.71428571428571
P015,2,low-uptake,6.666666666666667,5.0,7.0,65.71428571428571
P015,3,low-uptake,7.333333333333333,6.333333333333333,8.5,65.71428571428571
P002,1,low-uptake,2.6666666666666665,4.0,7.5,23.77104377104377
P002,2,low-uptake,2.6666666666666665,5.666666666666667,6.75,23.77104377104377
P002,3,low-uptake,4.333333333333333,5.333333333333333,6.75,23.77104377104377
P011,1,mixed-uptake,4.666666666666667,5.333333333333333,5.75,33.333333333333336
P011,2,mixed-uptake,7.0,6.333333333333333,7.5,33.333333333333336
P011,3,mixed-uptake,7.0,6.333333333333333,5.5,33.333333333333336
P043,1,mixed-uptake,4.333333333333333,5.666666666666667,7.75,8.333333333333334
P043,2,mixed-uptake,3.333333333333333,4.333333333333333,6.0,8.333333333333334
P043,3,mixed-uptake,4.333333333333333,7.0,6.0,8.333333333333334
P026,1,high-uptake,2.0,1.0,4.5,6.666666666666667
P026,2,high-uptake,4.333333333333333,3.0,6.25,6.666666666666667
P026,3,high-uptake,5.0,4.666666666666667,7.5,6.666666666666667
P055,1,mixed-uptake,5.0,4.666666666666667,5.75,14.393939393939396
P055,2,mixed-uptake,4.333333333333333,3.0,7.5,14.393939393939396
P055,3,mixed-uptake,3.6666666666666665,3.0,8.0,14.393939393939396
P006,1,mixed-uptake,1.3333333333333333,3.0,2.0,22.22222222222221
P006,2,mixed-uptake,1.6666666666666667,4.333333333333333,4.0,22.22222222222221
P006,3,mixed-uptake,1.6666666666666667,3.0,1.0,22.22222222222221
P047,1,mixed-uptake,1.6666666666666667,1.3333333333333333,10.0,28.04232804232804
P047,2,mixed-uptake,2.6666666666666665,4.666666666666667,7.5,28.04232804232804
P047,3,mixed-uptake,1.3333333333333333,4.0,10.0,28.04232804232804
P057,1,high-uptake,2.6666666666666665,3.6666666666666665,4.0,9.226190476190476
P057,2,high-uptake,3.333333333333333,5.0,7.5,9.226190476190476
P057,3,high-uptake,2.6666666666666665,3.333333333333333,8.0,9.226190476190476
P050,1,low-uptake,4.666666666666667,8.0,6.25,11.111111111111107
P050,2,low-uptake,2.333333333333333,3.333333333333333,9.25,11.111111111111107
P050,3,low-uptake,2.333333333333333,5.0,7.75,11.111111111111107
P014,1,low-uptake,3.0,5.0,6.5,12.916666666666666
P014,2,low-uptake,3.6666666666666665,5.666666666666667,7.0,12.916666666666666
P014,3,low-uptake,3.0,5.666666666666667,6.75,12.916666666666666
P013,1,high-uptake,2.333333333333333,7.0,3.0,35.4016354016354
P013,2,high-uptake,5.0,5.666666666666667,2.0,35.4016354016354
P013,3,high-uptake,3.0,7.0,3.25,35.4016354016354
P027,1,low-uptake,5.0,5.0,5.0,4.444444444444445
P027,2,low-uptake,5.0,5.0,5.0,4.444444444444445
P027,3,low-uptake,5.0,5.0,5.0,4.444444444444445
P034,1,mixed-uptake,2.6666666666666665,3.333333333333333,8.0,0.0
P034,2,mixed-uptake,2.333333333333333,2.6666666666666665,8.75,0.0
P034,3,mixed-uptake,5.666666666666667,3.6666666666666665,8.5,0.0
P036,1,low-uptake,7.0,10.0,9.5,22.22222222222221
P036,2,low-uptake,1.6666666666666667,6.333333333333333,5.25,22.22222222222221
P036,3,low-uptake,1.3333333333333333,6.666666666666667,3.5,22.22222222222221
P051,1,low-uptake,2.0,6.666666666666667,6.75,0.0
P051,2,low-uptake,2.333333333333333,6.333333333333333,5.25,0.0
P051,3,low-uptake,1.6666666666666667,7.0,5.25,0.0
P021,1,high-uptake,4.0,4.0,7.75,25.0
P021,2,high-uptake,3.0,3.0,7.0,25.0
P021,3,high-uptake,2.333333333333333,2.333333333333333,7.0,25.0
P042,1,mixed-uptake,3.0,3.0,4.25,33.333333333333336
P042,2,mixed-uptake,2.6666666666666665,3.333333333333333,8.25,33.333333333333336
P042,3,mixed-uptake,3.0,2.6666666666666665,8.25,33.333333333333336
P035,1,high-uptake,1.0,1.0,9.5,64.28571428571429
P035,2,high-uptake,1.0,1.0,9.75,64.28571428571429
P035,3,high-uptake,1.0,1.0,10.0,64.28571428571429
P041,1,mixed-uptake,2.6666666666666665,9.666666666666666,1.0,6.060606060606061
P041,2,mixed-uptake,1.0,7.0,2.75,6.060606060606061
P041,3,mixed-uptake,4.333333333333333,6.0,2.5,6.060606060606061
P019,1,high-uptake,5.0,1.0,8.0,6.666666666666667
P019,2,high-uptake,1.3333333333333333,3.333333333333333,6.5,6.666666666666667
P019,3,high-uptake,2.0,3.6666666666666665,8.0,6.666666666666667
