uid,content,role,session,group_type,strategy,icap
U037,A more detailed explanation would be helpful for understanding.,user,1,low-uptake,Amplification,Constructive
U037,What do you mean by a more detailed explanation?,assistant,1,low-uptake,,
U037,The explanation for the second argument is too brief.,user,1,low-uptake,Amplification,Constructive
U037,What does it mean to be too brief?,assistant,1,low-uptake,,
U030,you should change It's to It,user,1,mixed-uptake,Reformulate,Active
U030,I will change 'It's' to 'It' here.,assistant,1,mixed-uptake,,
U030,"Good job! Peer acknowledged your feedback!
Let's move to the next error!",system,1,mixed-uptake,,
U030,How do I fix this?,assistant,1,mixed-uptake,,
U037,There is no explanation to support the second statement while first statement exists.,user,1,low-uptake,Amplification,Constructive
U037,Why is there no explanation for the second statement?,assistant,1,low-uptake,,
U030,I don't know,user,1,mixed-uptake,Reject,Active
U030,Maybe it should be online learning misses the interaction.,assistant,1,mixed-uptake,,
U030,"Oh no, peer made a mistake while applying your feedback.
Please give a more detailed feedback",system,1,mixed-uptake,,
U030,i think so,user,1,mixed-uptake,Accept,Passive
U030,What does it mean that online learning misses?,assistant,1,mixed-uptake,,
U030,online learning is lack of somthing,user,1,mixed-uptake,Reformulate,Active
U030,So it should be online learning is lack of interaction?,assistant,1,mixed-uptake,,
U030,"Oh no, peer made a mistake while applying your feedback.
Please give a more detailed feedback",system,1,mixed-uptake,,
U037,That sentence is just a claim. There's no basis for it.,user,1,low-uptake,Reject,Active
U037,I will give more explanation for this point.,assistant,1,low-uptake,,
U037,"Good job! Peer acknowledged your feedback!
Let's move to the next error!",system,1,low-uptake,,
U037,How can I improve here?,assistant,1,low-uptake,,
U030,yeah,user,1,mixed-uptake,Accept,Passive
U030,Okay. I will change 'is lack of' to 'misses'.,assistant,1,mixed-uptake,,
U030,"Good job! Peer acknowledged your feedback!
Let's move to the next error!",system,1,mixed-uptake,,
U030,How can I improve here?,assistant,1,mixed-uptake,,
U030,good should be changed to well,user,1,mixed-uptake,Reformulate,Active
U030,Why should I change good to well?,assistant,1,mixed-uptake,,
U030,just change the word,user,1,mixed-uptake,Reject,Active
U030,What does change the word mean?,assistant,1,mixed-uptake,,
U030,Such students will not learn good if they only use online classes.->Such students will not learn well if they only use online classes.,user,1,mixed-uptake,Reformulate,Active
U030,"Oh, I thought it should be learn good.",assistant,1,mixed-uptake,,
U030,"Oh no, peer made a mistake while applying your feedback.
Please give a more detailed feedback",system,1,mixed-uptake,,
U030,no it should be well,user,1,mixed-uptake,Reformulate,Active
U037,There is not verb,user,1,low-uptake,Reject,Active
U030,I will change 'good' to 'well' here.,assistant,1,mixed-uptake,,
U030,"Good job! Peer acknowledged your feedback!
Let's move to the next error!",system,1,mixed-uptake,,
U030,What's wrong here?,assistant,1,mixed-uptake,,
U037,What does it mean that there is not verb?,assistant,1,low-uptake,,
U030,where?,user,1,mixed-uptake,Metacognitive,Constructive
U030,Where what?,assistant,1,mixed-uptake,,
